Team            Attack       Defense    
Arsenal         1.55         0.70       
Aston Villa     0.67         1.43       
Bournemouth     1.10         1.27       
Chelsea         1.43         1.03       
Crystal Palace  0.95         0.98       
Everton         1.43         1.07       
Leicester       1.62         0.71       
Liverpool       1.53         0.98       
Man City        1.70         0.80       
Man United      1.16         0.67       
Newcastle       1.07         1.25       
Norwich         0.96         1.28       
Southampton     1.42         0.79       
Stoke           0.99         1.06       
Sunderland      1.18         1.19       
Swansea         1.01         0.99       
Tottenham       1.65         0.68       
Watford         0.97         0.95       
West Brom       0.82         0.92       
West Ham        1.57         1.00       
